race_id,season,round,race_date,circuit_id
547,1977,5,1977-05-08,45
548,1977,6,1977-05-22,6
549,1977,7,1977-06-05,40
550,1977,8,1977-06-19,47
551,1977,9,1977-07-03,41
552,1977,10,1977-07-16,9
553,1977,11,1977-07-31,10
554,1977,12,1977-08-14,70
555,1977,13,1977-08-28,39
556,1977,14,1977-09-11,14
557,1977,15,1977-10-02,46
558,1977,16,1977-10-09,48
559,1977,17,1977-10-23,16
560,1976,1,1976-01-25,18
561,1976,2,1976-03-06,30
562,1976,3,1976-03-28,43
563,1976,4,1976-05-02,45
564,1976,5,1976-05-16,40
565,1976,6,1976-05-30,6
566,1976,7,1976-06-13,47
567,1976,8,1976-07-04,34
568,1976,9,1976-07-18,38
569,1976,10,1976-08-01,20
570,1976,11,1976-08-15,70
571,1976,12,1976-08-29,39
572,1976,13,1976-09-12,14
573,1976,14,1976-10-03,48
574,1976,15,1976-10-10,46
575,1976,16,1976-10-24,16
576,1975,1,1975-01-12,25
577,1975,2,1975-01-26,18
578,1975,3,1975-03-01,30
579,1975,4,1975-04-27,49
580,1975,5,1975-05-11,6
581,1975,6,1975-05-25,40
582,1975,7,1975-06-08,47
583,1975,8,1975-06-22,39
584,1975,9,1975-07-06,34
585,1975,10,1975-07-19,9
586,1975,11,1975-08-03,20
587,1975,12,1975-08-17,70
588,1975,13,1975-09-07,14
589,1975,14,1975-10-05,46
590,1974,1,1974-01-13,25
591,1974,2,1974-01-27,18
592,1974,3,1974-03-30,30
593,1974,4,1974-04-28,45
594,1974,5,1974-05-12,50
595,1974,6,1974-05-26,6
596,1974,7,1974-06-09,47
597,1974,8,1974-06-23,39
598,1974,9,1974-07-07,41
599,1974,10,1974-07-20,38
600,1974,11,1974-08-04,20
601,1974,12,1974-08-18,70
602,1974,13,1974-09-08,14
603,1974,14,1974-09-22,48
604,1974,15,1974-10-06,46
605,1973,1,1973-01-28,25
606,1973,2,1973-02-11,18
607,1973,3,1973-03-03,30
608,1973,4,1973-04-29,49
609,1973,5,1973-05-20,40
610,1973,6,1973-06-03,6
611,1973,7,1973-06-17,47
612,1973,8,1973-07-01,34
613,1973,9,1973-07-14,9
614,1973,10,1973-07-29,39
615,1973,11,1973-08-05,20
616,1973,12,1973-08-19,70
617,1973,13,1973-09-09,14
618,1973,14,1973-09-23,48
619,1973,15,1973-10-07,46
620,1972,1,1972-01-23,25
621,1972,2,1972-03-04,30
622,1972,3,1972-05-01,45
623,1972,4,1972-05-14,6
624,1972,5,1972-06-04,50
625,1972,6,1972-07-02,51
626,1972,7,1972-07-15,38
627,1972,8,1972-07-30,20
628,1972,9,1972-08-13,70
629,1972,10,1972-09-10,14
630,1972,11,1972-09-24,48
631,1972,12,1972-10-08,46
632,1971,1,1971-03-06,30
633,1971,2,1971-04-18,49
634,1971,3,1971-05-23,6
635,1971,4,1971-06-20,39
636,1971,5,1971-07-04,34
637,1971,6,1971-07-17,9
638,1971,7,1971-08-01,20
639,1971,8,1971-08-15,70
640,1971,9,1971-09-05,14
641,1971,10,1971-09-19,48
642,1971,11,1971-10-03,46
643,1970,1,1970-03-07,30
644,1970,2,1970-04-19,45
645,1970,3,1970-05-10,6
646,1970,4,1970-06-07,13
647,1970,5,1970-06-21,39
648,1970,6,1970-07-05,51
649,1970,7,1970-07-18,38
650,1970,8,1970-08-02,10
651,1970,9,1970-08-16,70
652,1970,10,1970-09-06,14
653,1970,11,1970-09-20,52
654,1970,12,1970-10-04,46
655,1970,13,1970-10-25,32
656,1969,1,1969-03-01,30
657,1969,2,1969-05-04,49
658,1969,3,1969-05-18,6
659,1969,4,1969-06-21,39
660,1969,5,1969-07-06,51
661,1969,6,1969-07-19,9
662,1969,7,1969-08-03,20
663,1969,8,1969-09-07,14
664,1969,9,1969-09-20,48
665,1969,10,1969-10-05,46
666,1969,11,1969-10-19,32
667,1968,1,1968-01-01,30
668,1968,2,1968-05-12,45
669,1968,3,1968-05-26,6
670,1968,4,1968-06-09,13
671,1968,5,1968-06-23,39
672,1968,6,1968-07-07,53
673,1968,7,1968-07-20,38
674,1968,8,1968-08-04,20
675,1968,9,1968-09-08,14
676,1968,10,1968-09-22,52
677,1968,11,1968-10-06,46
678,1968,12,1968-11-03,32
679,1967,1,1967-01-02,30
680,1967,2,1967-05-07,6
681,1967,3,1967-06-04,39
682,1967,4,1967-06-18,13
683,1967,5,1967-07-02,54
684,1967,6,1967-07-15,9
685,1967,7,1967-08-06,20
686,1967,8,1967-08-27,48
687,1967,9,1967-09-10,14
688,1967,10,1967-10-01,46
689,1967,11,1967-10-22,32
690,1966,1,1966-05-22,6
691,1966,2,1966-06-12,13
692,1966,3,1966-07-03,55
693,1966,4,1966-07-16,38
694,1966,5,1966-07-24,39
695,1966,6,1966-08-07,20
696,1966,7,1966-09-04,14
697,1966,8,1966-10-02,46
698,1966,9,1966-10-23,32
699,1965,1,1965-01-01,56
700,1965,2,1965-05-30,6
701,1965,3,1965-06-13,13
702,1965,4,1965-06-27,51
703,1965,5,1965-07-10,9
704,1965,6,1965-07-18,39
705,1965,7,1965-08-01,20
706,1965,8,1965-09-12,14
707,1965,9,1965-10-03,46
708,1965,10,1965-10-24,32
709,1964,1,1964-05-10,6
710,1964,2,1964-05-24,39
711,1964,3,1964-06-14,13
712,1964,4,1964-06-28,53
713,1964,5,1964-07-11,38
714,1964,6,1964-08-02,20
715,1964,7,1964-08-23,57
716,1964,8,1964-09-06,14
717,1964,9,1964-10-04,46
718,1964,10,1964-10-25,32
719,1963,1,1963-05-26,6
720,1963,2,1963-06-09,13
721,1963,3,1963-06-23,39
722,1963,4,1963-06-30,55
723,1963,5,1963-07-20,9
724,1963,6,1963-08-04,20
725,1963,7,1963-09-08,14
726,1963,8,1963-10-06,46
727,1963,9,1963-10-27,32
728,1963,10,1963-12-28,56
729,1962,1,1962-05-20,39
730,1962,2,1962-06-03,6
731,1962,3,1962-06-17,13
732,1962,4,1962-07-08,53
733,1962,5,1962-07-21,58
734,1962,6,1962-08-05,20
735,1962,7,1962-09-16,14
736,1962,8,1962-10-07,46
737,1962,9,1962-12-29,56
738,1961,1,1961-05-14,6
739,1961,2,1961-05-22,39
740,1961,3,1961-06-18,13
741,1961,4,1961-07-02,55
742,1961,5,1961-07-15,58
743,1961,6,1961-08-06,20
744,1961,7,1961-09-10,14
745,1961,8,1961-10-08,46
746,1960,1,1960-02-07,25
747,1960,2,1960-05-29,6
748,1960,3,1960-05-30,19
749,1960,4,1960-06-06,39
750,1960,5,1960-06-19,13
751,1960,6,1960-07-03,55
752,1960,7,1960-07-16,9
753,1960,8,1960-08-14,59
754,1960,9,1960-09-04,14
755,1960,10,1960-11-20,60
756,1959,1,1959-05-10,6
757,1959,2,1959-05-30,19
758,1959,3,1959-05-31,39
759,1959,4,1959-07-05,55
760,1959,5,1959-07-18,58
761,1959,6,1959-08-02,61
762,1959,7,1959-08-23,62
763,1959,8,1959-09-13,14
764,1959,9,1959-12-12,63
765,1958,1,1958-01-19,25
766,1958,2,1958-05-18,6
767,1958,3,1958-05-26,39
768,1958,4,1958-05-30,19
769,1958,5,1958-06-15,13
770,1958,6,1958-07-06,55
771,1958,7,1958-07-19,9
772,1958,8,1958-08-03,20
773,1958,9,1958-08-24,59
774,1958,10,1958-09-07,14
775,1958,11,1958-10-19,64
776,1957,1,1957-01-13,25
777,1957,2,1957-05-19,6
778,1957,3,1957-05-30,19
779,1957,4,1957-07-07,53
780,1957,5,1957-07-20,58
781,1957,6,1957-08-04,20
782,1957,7,1957-08-18,65
783,1957,8,1957-09-08,14
784,1956,1,1956-01-22,25
785,1956,2,1956-05-13,6
786,1956,3,1956-05-30,19
787,1956,4,1956-06-03,13
788,1956,5,1956-07-01,55
789,1956,6,1956-07-14,9
790,1956,7,1956-08-05,20
791,1956,8,1956-09-02,14
792,1955,1,1955-01-16,25
793,1955,2,1955-05-22,6
794,1955,3,1955-05-30,19
795,1955,4,1955-06-05,13
796,1955,5,1955-06-19,39
797,1955,6,1955-07-16,58
798,1955,7,1955-09-11,14
799,1954,1,1954-01-17,25
800,1954,2,1954-05-31,19
801,1954,3,1954-06-20,13
802,1954,4,1954-07-04,55
803,1954,5,1954-07-17,9
804,1954,6,1954-08-01,20
805,1954,7,1954-08-22,66
806,1954,8,1954-09-05,14
807,1954,9,1954-10-24,67
808,1953,1,1953-01-18,25
809,1953,2,1953-05-30,19
810,1953,3,1953-06-07,39
811,1953,4,1953-06-21,13
812,1953,5,1953-07-05,55
813,1953,6,1953-07-18,9
814,1953,7,1953-08-02,20
815,1953,8,1953-08-23,66
816,1953,9,1953-09-13,14
817,1952,1,1952-05-18,66
818,1952,2,1952-05-30,19
819,1952,3,1952-06-22,13
820,1952,4,1952-07-06,53
821,1952,5,1952-07-19,9
822,1952,6,1952-08-03,20
823,1952,7,1952-08-17,39
824,1952,8,1952-09-07,14
825,1951,1,1951-05-27,66
826,1951,2,1951-05-30,19
827,1951,3,1951-06-17,13
828,1951,4,1951-07-01,55
829,1951,5,1951-07-14,9
830,1951,6,1951-07-29,20
831,1951,7,1951-09-16,14
832,1951,8,1951-10-28,67
833,1950,1,1950-05-13,9
834,1950,2,1950-05-21,6
835,1950,3,1950-05-30,19
836,1950,4,1950-06-04,66
837,1950,5,1950-06-18,13
838,1950,6,1950-07-02,55
839,1950,7,1950-09-03,14
840,2011,1,2011-03-27,1
841,2011,2,2011-04-10,2
842,2011,3,2011-04-17,17
843,2011,4,2011-05-08,5
844,2011,5,2011-05-22,4
845,2011,6,2011-05-29,6
846,2011,7,2011-06-12,7
847,2011,8,2011-06-26,12
848,2011,9,2011-07-10,9
849,2011,10,2011-07-24,20
850,2011,11,2011-07-31,11
851,2011,12,2011-08-28,13
852,2011,13,2011-09-11,14
853,2011,14,2011-09-25,15
854,2011,15,2011-10-09,22
855,2011,16,2011-10-16,35
856,2011,17,2011-10-30,68
857,2011,18,2011-11-13,24
858,2011,19,2011-11-27,18
859,2012,1,2012-03-18,1
860,2012,2,2012-03-25,2
861,2012,3,2012-04-15,17
862,2012,4,2012-04-22,3
863,2012,5,2012-05-13,4
864,2012,6,2012-05-27,6
865,2012,7,2012-06-10,7
866,2012,8,2012-06-24,12
867,2012,9,2012-07-08,9
868,2012,10,2012-07-22,10
869,2012,11,2012-07-29,11
